p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
45.161;81.3791;82.6286;20.0512;47.6757;84.5879;81.0122;82.6968;222.5918;79.353;62.054;199.7977;83.2162;18.4752;84.3955;75.1214;75.1198;63.9429;221.512;43.6991;29.9581;141.222;10.9998;156.8971;110.919;90.1362;154.0714;160.3639;82.3712;135.7326;42.6397;24.7664;81.4931;7.5026;156.0097;80.6455
45.5471;79.7974;81.2385;88.6321;40.1814;194.3743;82.6381;50.5895;160.9962;81.766;66.781;140.6635;84.3494;23.3512;80.9176;71.0386;13.4173;0.0618;167.5875;49.4914;24.3499;145.4447;11.5781;131.7839;108.7181;120.1349;57.9115;154.3223;83.1202;149.3175;51.9565;6.6779;83.1813;19.3404;110.2313;80.2752
23.051;81.3867;83.3428;44.9739;46.7988;74.0038;83.1991;45.521;156.8107;79.5917;22.8442;63.2228;81.7944;8.5808;81.7845;10.9847;133.6536;47.7961;247.3026;84.6647;45.0346;139.8764;15.9423;191.7466;64.3828;86.2957;50.0;153.8942;83.8412;155.5093;14.4874;13.4388;82.881;18.4057;75.366;83.0108
27.6065;80.7558;82.4803;52.5629;49.0363;6.7291;83.1837;92.8919;221.2269;79.9125;67.5086;141.3469;82.6046;20.2496;80.8754;86.2482;10.2136;59.3475;149.836;53.8827;21.7487;38.6009;3.1107;92.2372;154.5395;101.5579;55.3939;158.7944;82.6397;263.9637;54.4031;27.7153;81.0593;5.8496;110.5505;81.0163
22.0417;81.4022;83.1704;91.2875;27.7135;209.7066;82.9721;81.5736;265.5533;83.1639;59.2493;116.0951;83.5936;14.2893;80.3938;76.1648;28.7132;71.6796;150.9886;100.9379;66.248;86.8232;14.199;19.9632;143.213;98.8792;51.1788;149.551;83.4797;314.2335;8.5144;6.2983;81.4933;13.1326;150.5462;84.3285
65.7291;81.2425;83.7692;22.1496;1.6493;91.9341;82.5787;95.9998;217.205;81.0164;61.5433;91.8684;84.2062;24.1367;83.7732;108.5412;51.299;42.424;44.0508;43.8527;27.9759;46.7311;17.7634;143.8606;106.2888;108.0328;53.4889;56.349;79.914;108.547;54.3355;11.7988;80.8065;7.6833;211.4961;80.4508
67.2679;79.8547;82.3107;47.3551;38.1648;141.9241;82.406;76.9594;222.6597;47.8772;20.0822;122.9341;82.639;17.1619;83.0875;72.985;52.0056;3.8988;146.5056;48.7724;16.8477;128.0614;21.4466;159.6145;108.9588;117.2729;62.4355;56.3705;81.268;165.8731;53.9028;13.5201;83.8695;5.0771;62.3884;82.8224
50.1391;81.9315;82.9094;88.0776;25.2156;209.6887;81.3695;90.4506;221.7543;76.8016;24.8476;194.8445;82.325;14.3481;82.0118;3.4688;51.2961;52.3936;185.5484;45.8822;13.5981;138.3586;29.7479;251.9278;60.8319;47.2664;100.3576;53.6845;83.7546;111.6289;54.4078;24.2337;80.0346;18.2048;96.9768;81.9342
58.9168;80.041;83.6165;50.2022;47.2033;209.3494;83.5922;46.8963;115.3322;81.2077;54.5905;239.0734;81.1682;14.2593;80.7901;65.1969;24.4796;62.7769;208.0632;56.5548;22.1329;36.0951;12.1197;207.6828;105.7612;48.1122;153.5871;150.3469;84.0129;155.0422;9.1573;13.5442;78.1494;11.0412;51.4279;80.6252
68.7706;80.6141;82.8425;50.0;11.3513;153.7851;82.8477;93.1061;220.9239;81.0425;66.5931;139.5952;83.6228;17.9604;84.4401;120.4394;26.7489;51.4731;200.7306;104.3325;28.0039;45.359;19.4046;133.6068;61.2153;108.5047;72.1932;53.4412;82.4743;0.3529;53.762;17.1362;82.8592;13.7638;108.9274;82.9391
