p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
41.6701;79.8122;82.929;56.8563;7.748;139.8665;81.7131;95.3265;218.9959;78.9204;61.9654;78.8297;82.4282;18.9981;82.999;68.2564;50.0;53.6578;216.7575;42.8539;49.8578;39.1674;18.5201;190.4671;42.2932;59.2804;81.2531;150.7645;77.4939;200.4399;53.486;10.2205;82.8304;19.3166;40.173;82.4504
12.4799;81.9013;83.0536;44.3516;48.2977;199.8271;83.2848;51.2871;151.6165;82.7198;61.925;137.5558;83.002;31.1056;83.8452;66.6536;50.2368;60.2562;149.3254;85.7811;11.9887;39.7723;32.2289;15.5845;60.6941;114.6028;81.2004;57.2149;78.1207;6.0386;11.4177;38.5659;83.6973;5.3074;50.8509;82.4449
63.7919;80.4685;83.3422;50.1179;49.9718;50.7889;84.1534;95.1092;159.3985;81.3913;49.4478;184.3519;80.6636;22.3127;84.6578;108.8356;21.1519;0.0;157.6129;50.2555;26.8976;50.02;9.697;199.6032;47.2495;68.0142;181.5735;154.3842;20.6166;31.1571;54.8418;23.9344;80.7345;18.0972;150.8901;81.8782
64.4891;79.5532;83.5658;48.5138;20.3187;174.3045;84.3572;78.4498;165.6277;62.209;63.5217;125.3881;81.5457;12.9672;80.8826;69.9959;17.5543;61.6295;3.9045;98.8482;8.1122;44.5732;7.6969;115.7597;2.6057;51.0399;102.6428;54.9083;27.1855;149.4447;52.8526;10.2995;82.9299;17.1742;90.2331;79.0576
24.2639;80.7227;82.635;44.7688;16.265;265.7777;82.03;49.6922;159.8279;80.5414;63.3894;125.498;81.1752;11.17;84.7418;75.3855;20.6271;17.0796;80.7367;45.9709;29.3552;38.2249;23.0639;224.399;1.4926;151.2808;193.2496;50.9864;80.3771;156.5559;51.5701;11.9015;81.6181;24.4588;103.0938;79.9051
58.2255;81.0138;82.3047;88.2508;47.3044;117.9139;81.7907;50.0;273.7501;57.0065;63.1628;139.161;80.7978;16.4612;82.8483;117.0894;50.2038;67.5895;142.3714;100.7599;27.8368;47.2617;7.001;95.9571;97.2497;33.0142;94.5361;40.8919;32.122;98.5212;8.037;24.4872;83.8686;13.4609;162.8085;81.6771
33.5783;82.0795;83.7553;10.8776;48.6198;316.0093;83.214;94.1641;23.6424;51.3636;62.924;72.5832;84.3566;19.9438;84.132;94.0412;132.0068;0.0899;57.3577;53.887;48.2358;43.7893;19.8729;160.4074;0.118;117.5786;58.6315;151.7145;24.8349;29.4451;18.3459;13.666;81.5281;14.1059;153.5585;79.6731
49.0399;80.1222;83.9209;43.8329;44.7472;205.8953;82.655;94.8312;26.6554;48.7245;63.3283;145.3156;83.0289;19.0773;82.8869;59.3914;22.2198;12.2199;138.9126;105.9541;51.6815;47.5843;36.3119;136.2248;50.0;114.0294;50.0;101.8823;17.3989;311.7369;55.5024;10.603;82.2607;27.0864;197.6591;80.4954
30.1297;80.0428;82.9498;91.3028;51.4849;105.8603;82.3184;97.531;214.4666;49.2592;62.1237;145.9108;82.7192;15.8296;81.7549;70.0069;10.0629;62.7744;134.7184;47.6148;38.4878;138.7785;17.5991;154.7359;0.1178;77.8991;47.6311;56.3894;22.5762;147.4239;29.845;15.0298;79.8411;28.9754;154.5664;81.699
14.3849;81.2834;81.5979;57.0816;15.8324;94.1594;81.7324;47.6328;115.4759;80.1153;59.0312;195.3195;82.3643;19.7823;82.5568;86.115;25.6769;32.2102;23.1198;41.0908;55.8285;37.9097;9.213;130.8432;97.2541;113.5152;54.7062;56.596;20.8696;207.3994;51.4835;8.7056;83.1228;9.8942;113.1884;79.6712
58.9559;80.369;84.0846;50.0;10.3436;120.5111;84.6143;92.5361;18.3437;77.4658;65.5719;158.5936;81.9111;14.0103;83.2714;66.9065;19.4696;0.0;210.0526;94.138;12.6581;25.7666;3.1682;267.4618;47.2456;111.4661;90.7515;55.5735;26.8049;210.2077;55.2972;12.2451;83.2638;14.524;67.1688;80.949
47.9823;81.9543;82.2821;24.2441;48.2;154.1639;83.0784;47.7679;29.3182;80.5401;62.5289;88.2825;81.8116;20.6059;83.3087;88.4524;132.5536;72.6729;156.747;48.9322;26.8184;39.8732;18.8947;321.365;47.2339;96.53;85.6716;90.6723;25.5417;138.7273;50.3817;24.9251;79.7882;19.2037;66.2425;82.7788
66.3086;82.3487;82.3007;50.0;22.5581;40.7775;81.9529;75.4692;3.6235;78.0509;62.4933;250.8507;82.6799;23.0121;80.8421;0.7868;9.1111;66.4211;151.607;85.6312;20.3895;37.1935;10.4308;86.0351;97.3718;140.309;83.5146;103.7896;17.5907;154.1401;52.5702;17.0927;81.8386;13.1753;153.1115;82.919
26.387;82.2824;70.2058;96.709;14.7284;109.3186;82.5908;93.7449;163.4278;83.3834;62.2659;41.5446;78.053;59.5497;81.1793;108.5014;0.237;96.701;82.7248;54.9588;19.5732;154.4155;40.2959;72.2226;212.3739;137.4789;119.4541;24.1503;77.5413;77.65;51.7086;58.3605;80.3369;24.4502;43.6638;84.1238
41.5234;82.4684;66.0753;210.2542;16.3885;29.6592;80.0697;90.3985;108.6653;83.8773;50.9647;43.8728;84.1844;47.3214;82.832;149.9764;47.7833;37.942;94.1128;103.4624;19.222;137.6281;38.7444;117.9339;214.8984;134.612;113.7453;8.4156;77.7988;58.333;48.3724;46.8207;78.1299;65.0053;157.2363;82.2768
31.8057;84.594;78.4052;197.3861;11.1867;127.1512;82.4508;53.1601;38.4648;83.5531;43.8188;140.3576;79.5958;25.8804;83.1763;104.4642;0.4797;94.4822;87.9129;68.7226;16.2398;46.3889;43.3849;168.1896;115.2874;44.7707;206.6736;128.1895;79.0119;61.3659;57.082;43.8724;81.0363;65.4106;201.8111;82.8458
28.4656;83.9334;2.0178;56.42;35.465;113.8885;83.0668;132.2184;43.0992;82.0098;40.4964;47.9323;74.1559;32.6941;82.6843;152.9246;48.2047;106.345;105.0048;45.1648;27.7274;51.5664;16.6082;166.4935;219.2335;71.7812;116.6185;101.2786;80.4541;154.6384;50.7336;48.0325;82.2987;36.0991;20.394;80.7338
