p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
30.894;83.9318;0.1091;51.1214;22.5316;139.6874;1.2168;0.0;2.959;83.3353;29.3151;36.4345;83.0191;52.1303;5.2492;50.9489;0.0731;102.7475;233.7704;60.9294;64.9511;0.8474;13.3666;3.252;50.353;47.1092;105.584;70.1388;13.3134;0.0802;71.1256;11.3912;80.8226;0.0;77.747;79.8362
20.9523;82.047;0.1216;52.3034;53.265;147.9721;1.2154;0.0;9.7999;82.98;22.4982;62.6225;82.5391;53.2238;13.7019;50.919;0.0824;99.4553;120.802;94.1523;66.8606;0.2098;21.2781;58.7198;50.3539;47.777;148.2216;65.2922;13.7813;0.1887;14.6501;14.3178;83.2276;4.8001;119.3318;82.3542
0.1898;82.0184;0.0;3.2221;0.0;0.0;0.0;52.1795;2.9612;84.5025;6.7284;50.5908;81.5994;19.8642;0.0;48.0077;50.1185;70.3691;109.8778;4.2257;53.926;52.2489;4.2428;3.2742;63.644;108.0626;136.7067;74.3921;68.6566;64.1124;8.7323;13.8709;82.3256;13.3868;6.8758;81.3423
0.2432;83.344;0.0;55.3392;0.0;0.236;0.2189;2.7592;2.3076;83.8064;14.0197;50.5913;81.5726;59.3766;0.0;45.8591;0.1177;68.6391;114.5628;158.7795;16.2713;7.9168;0.2245;5.5276;73.0473;53.9199;90.6239;19.9008;69.9197;266.0806;71.9582;18.7887;84.2298;38.0406;57.996;81.7379
17.4079;83.9184;8.3342;104.138;3.5698;55.907;81.6184;0.0;121.0136;83.6121;0.0;143.6182;83.8351;52.6245;3.3301;66.3129;0.1184;49.1792;0.7015;101.1191;0.0;86.3586;0.0;106.1121;57.0359;0.0;76.2234;9.2568;51.8224;0.0;3.6468;0.0393;83.5243;0.4001;57.7244;0.4339
7.811;82.99;3.6749;102.4915;2.8458;0.6651;79.7049;0.0;12.6005;83.7783;0.0;42.4008;83.0382;52.9278;47.0017;1.8273;50.118;31.1921;65.4082;157.9006;0.0;81.6597;0.0;65.0275;66.4827;50.0;81.6707;52.5441;53.2588;0.0;2.8579;10.5328;84.0188;0.7864;0.0;6.7733
4.5686;82.3634;82.8609;44.1316;0.9173;35.6007;84.1846;1.3052;55.8776;65.2279;16.0527;21.2851;80.1214;19.3131;0.0;58.6192;0.0;45.9809;111.1397;98.1767;3.3399;7.3431;16.1041;86.7463;0.0;50.3536;50.9418;149.7295;2.9781;85.3214;13.7008;1.016;82.6164;9.1413;3.1598;80.5522
0.4779;82.5331;82.3693;41.6965;2.0357;199.0423;83.8011;2.4527;8.9186;54.2457;24.965;72.2551;81.0735;13.6369;0.0;105.5698;0.0;46.9031;144.826;79.1789;3.8001;5.2274;17.4126;105.9334;0.0;1.0759;84.6703;61.8373;7.0841;48.5293;2.5536;1.8771;82.2883;23.7985;7.0642;83.0046
0.3641;78.9809;83.9168;57.2182;0.0;52.0753;31.5875;74.8716;10.2367;26.2583;58.8864;2.7431;78.6988;24.8952;0.2111;0.0;50.1179;7.4135;137.5839;49.8444;43.4767;94.0965;12.9994;104.7785;0.5636;0.0;82.6052;103.2854;0.4863;2.8574;0.0;14.2712;83.0542;12.2128;0.0;83.0863
0.1213;80.028;81.5052;92.9915;0.0;34.9949;24.3727;50.1179;119.3931;1.4785;70.6958;53.4572;82.6391;13.9577;0.2436;0.0;54.3927;50.0;138.2367;98.0016;33.4355;94.5318;3.7047;101.8075;0.5907;0.0;89.691;156.5244;0.8602;4.8538;0.0;12.343;80.646;10.9891;0.0;81.6916
