p: 0.79,ripartizione,arena: III;p: 0.1,ibrida,arena: III;p: 0.79,ibrida,arena: III;p: 0.1,ripartizione,arena: III;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: I;p: 0.79,ibrida,arena: I;p: 0.1,ripartizione,arena: I;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.79,ibrida,arena: II;p: 0.5,ibrida,arena: I;p: 0.5,ripartizione,arena: I;p: 0.5,ibrida,arena: III;p: 0.1,ibrida,arena: II;p: 0.5,ripartizione,arena: III;p: 0.1,alterazione,arena: I;p: 0.5,alterazione,arena: I;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: IV;p: 0.5,ibrida,arena: II;p: 0.5,ripartizione,arena: II;p: 0.1,ripartizione,arena: II;p: 0.5,alterazione,arena: II;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,alterazione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: III;p: 0.5,alterazione,arena: IV
47.2476;259.5677;53.2896;67.611;67.2361;69.1335;66.1745;37.4034;50.0;61.9706;50.0;58.6897;50.6274;48.5982;46.8914;47.1403;50.0452;66.1933;45.3853;50.0;51.156;66.1501;48.2357;52.5451;7.8036;44.3781;47.1683;39.9345;48.7432;54.0141;48.7444;78.7109;2.5555;61.2465;3.0703;11.8361
77.6242;50.0;50.0;196.5513;62.3289;70.5267;57.704;48.7388;105.7209;52.2066;61.8594;52.9614;4.1078;61.0935;47.0677;53.946;66.3841;68.0494;45.5646;29.4302;59.187;46.2175;52.3142;51.4136;52.7116;38.4333;51.0117;47.875;50.7518;50.0;48.4124;124.0468;11.437;50.0;17.6715;11.3614
62.2849;42.4093;52.1831;6.1486;61.7361;82.3;50.3008;77.3449;50.5551;63.5832;51.4688;42.2592;70.2127;53.231;50.5397;48.8541;46.4389;98.7292;23.1719;75.2471;48.866;30.601;52.5616;39.3081;50.0;40.6313;37.6326;54.476;42.3749;54.0442;15.2272;20.2297;67.4238;1.3007;19.5579;44.4343
77.5478;56.9881;0.507;115.2124;72.5766;78.4093;65.0088;75.6799;52.6769;50.3737;63.2742;47.0169;50.0;60.7155;47.4142;55.3268;58.6671;83.0959;47.1194;25.3633;6.1702;62.8963;15.4278;43.5841;44.3838;40.3834;45.7433;17.5252;24.1832;96.2781;58.2;50.0;4.4968;55.7831;12.4844;17.8959
110.0954;50.4736;80.0632;10.1528;68.6385;74.1777;53.6456;76.8503;68.157;50.3776;112.0727;59.4376;51.931;47.968;57.3885;64.675;48.7889;55.7647;25.9753;82.6099;31.8064;43.8584;48.8212;45.0333;31.3929;38.9419;43.1325;9.9302;53.8622;36.4632;0.1216;51.3732;100.141;59.8713;8.1905;17.3268
51.0114;111.8032;65.5711;1.2748;63.6874;62.6207;71.4856;83.2799;50.0;50.6116;50.0;53.8934;50.0;48.2076;45.8709;44.0909;58.7197;55.5935;56.4401;42.256;70.2997;23.8884;52.2322;56.3149;50.2364;44.7986;38.8719;11.5711;45.2642;64.3154;48.6282;26.6242;6.0126;36.4189;2.875;3.665
50.0;59.0664;58.5153;50.5054;60.2954;71.8508;72.2557;68.228;65.6963;96.0507;108.4535;64.9382;110.5655;54.3085;51.2667;45.5677;41.8408;60.8457;47.676;50.1181;76.8622;52.7309;52.6156;24.6734;24.7766;43.8928;41.6771;13.0835;24.598;34.0931;53.9737;10.6265;50.0;3.1932;64.6922;0.3336
67.0222;66.7132;26.6199;115.2878;69.1578;48.5145;75.1906;70.8536;38.5849;50.0;65.0766;52.0304;96.9129;46.1292;57.6254;45.1793;47.7154;13.3923;69.6306;24.6759;9.0528;52.7496;18.2324;91.5172;32.0808;39.7585;45.008;40.2474;49.0818;49.6877;0.1094;0.2363;50.3001;5.0788;25.6397;7.4371
108.2882;50.0;38.877;9.2516;77.0278;75.7789;76.1012;77.5395;51.8908;77.5982;1.419;54.8849;50.0;62.633;50.5936;40.3814;44.4219;96.2242;55.197;50.0;63.616;40.2215;53.1655;61.2136;49.75;42.7552;44.5405;45.5778;40.9606;35.0263;54.8387;50.0;34.9887;50.0;50.1291;29.9316
50.0;40.396;107.3183;52.3776;81.3249;47.6545;65.7482;68.9908;58.3781;52.7822;61.2613;62.9454;113.1603;46.3118;54.6095;54.9382;64.8812;33.1305;46.1772;50.0;0.9226;44.4334;50.3512;52.4904;49.5;42.77;48.4308;59.3756;13.1738;13.0815;0.1215;38.2311;0.4933;0.0774;50.0;37.8411
