p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
183;106.8277;328;51.4488;207;1.0031;424;34.9702;452;37.1986;64;52.2056;712;48.2781;801;47.3063;801;24.0288;801;45.4813;676;42.7195;118;86.2587;36;0.7537;265;76.5666;181;46.7868;441;35.4308;530;54.3401;229;63.3746;658;61.5398;10;79.662;46;43.8479;74;60.2182;8;79.3436;207;8.1353;21;0.0;801;46.5704;801;42.8014;79;65.6177;459;87.5602;380;46.2119;45;47.231;801;44.6514;134;53.1345;5;50.0;332;119.9099;123;78.6309
255;75.5692;199;75.492;60;4.0518;69;51.1312;65;59.3302;65;54.677;756;57.2156;139;51.7956;801;47.3574;801;45.5712;801;84.1204;124;55.2314;30;58.8952;68;78.6505;694;51.2088;709;21.2876;800;84.4993;315;13.3556;550;35.2927;13;77.6824;291;52.4467;59;118.5624;36;77.8832;314;0.5678;34;7.7577;801;51.372;516;45.1227;33;58.7047;133;120.1161;801;44.2368;9;3.0353;801;38.6885;114;51.16;475;93.5507;7;0.1178;82;78.747
100;7.577;97;76.7418;29;2.7581;224;25.3272;203;52.5372;316;67.1047;767;67.8374;227;50.7899;795;46.0454;569;47.195;769;66.1375;45;51.7968;167;4.2569;40;76.9516;196;43.3249;782;53.5712;801;29.7872;192;59.7884;730;47.0123;106;79.1021;222;45.6236;5;62.9893;7;81.2015;359;5.3862;132;4.5748;801;54.9937;801;43.3712;112;121.9563;326;124.0056;801;41.805;2;11.3056;703;42.7073;101;52.2098;133;170.2733;569;19.5677;13;78.5719
293;64.0675;19;77.0406;120;38.8181;449;53.298;211;52.6479;105;5.3676;550;53.4038;373;52.5208;491;33.6305;801;41.8776;599;53.466;111;60.3303;41;0.8908;69;77.8251;135;42.533;798;58.2927;457;60.7584;448;60.1274;708;52.4483;23;78.8802;203;47.9734;66;114.8524;13;80.0069;313;11.2088;41;5.2603;413;30.9402;532;36.1435;74;64.2847;73;54.4384;368;48.9371;4;28.1997;801;44.002;29;46.2189;88;57.7141;359;169.0041;40;78.16
235;7.8173;86;76.0733;465;45.9485;281;66.2688;406;39.9907;170;71.3409;760;24.4987;28;51.8611;801;46.3687;801;41.4596;559;60.5056;36;62.8996;149;58.619;153;77.0254;53;46.1522;167;54.0932;758;30.5336;73;39.2;261;9.7601;9;77.1055;38;51.2701;50;53.0972;53;7.2865;799;32.059;709;33.8616;801;45.7492;651;41.0078;47;116.49;325;58.5464;801;49.596;12;9.6134;654;50.58;400;45.4583;277;68.504;55;3.35;53;78.8631
155;80.4021;42;74.2377;44;10.976;361;117.1545;206;54.7852;75;50.0;432;61.9576;251;79.2887;801;43.7124;801;46.5508;800;72.6849;42;54.1606;170;0.7426;87;78.9576;388;50.8462;684;44.7532;729;41.7866;315;22.666;796;14.913;60;73.9002;98;68.8538;29;58.4202;6;77.3178;793;43.6134;359;118.5277;746;36.1396;659;39.956;82;69.2397;242;162.2405;638;46.3282;6;11.3527;801;46.5254;23;56.4671;62;64.0053;277;12.5309;116;52.8015
60;52.8474;212;70.1876;232;50.6064;217;0.4537;706;50.786;302;16.0617;453;93.6724;65;69.9613;523;53.0098;801;47.5932;798;31.5576;128;82.7935;27;0.8652;39;41.0523;362;50.7777;358;71.4197;405;69.533;801;86.8457;796;18.1131;41;80.998;94;39.6279;44;57.4862;12;80.458;801;18.4325;66;2.8867;628;51.7215;378;46.2014;24;50.8199;126;59.7963;801;29.585;16;69.0008;801;42.8953;259;49.9994;124;68.0299;710;14.4681;64;76.8982
280;83.617;108;79.8383;8;8.4082;535;48.1829;340;50.1073;14;50.0807;781;30.7736;216;5.5158;801;43.3805;506;39.0523;437;15.1148;90;52.0383;281;64.6739;586;51.0299;485;43.5972;740;34.6735;672;53.3595;222;63.1994;402;11.2633;47;82.6302;67;41.8559;77;75.1051;24;78.7506;340;1.8901;66;18.0253;801;40.8458;740;38.378;22;14.9867;331;118.3802;780;45.5419;25;46.256;776;48.6619;242;38.7653;55;56.5298;372;66.3856;95;41.5962
144;44.0653;32;76.9752;23;5.0515;801;18.0584;222;58.0989;93;61.1873;722;130.691;596;54.4524;742;50.7749;411;49.7435;668;48.3482;28;50.2826;469;64.2688;17;77.6349;267;46.3085;169;54.5762;767;25.6987;151;8.9575;796;35.7137;90;51.7062;81;54.6648;30;66.4344;6;80.72;581;23.3141;7;7.1747;801;46.6342;801;42.4558;86;39.5068;120;17.1893;801;41.1642;13;66.2482;423;41.9598;203;46.2244;256;166.7401;217;23.2896;44;79.4829
301;121.1343;287;42.9182;217;40.5479;95;37.021;271;51.6728;85;69.8584;788;81.927;76;43.2486;801;43.293;801;42.7907;791;19.9572;681;57.0391;714;50.0;211;82.3894;356;46.9;570;86.4642;801;39.1915;448;41.9042;784;1.6229;19;80.1448;56;10.8191;10;50.0;28;79.5602;375;0.5708;295;63.7739;801;33.5551;801;38.0014;9;62.6543;73;56.2618;801;46.2396;47;62.3032;801;50.6927;22;43.2016;182;51.6735;178;53.3111;106;54.8199
87;102.2628;19;12.4;167;37.3424;140;11.7774;93;59.21;324;69.8996;480;44.7829;374;59.0566;801;42.4308;779;38.6792;799;50.046;513;72.4439;457;61.6928;318;80.0287;168;47.3622;456;53.7579;801;48.1143;262;98.5801;686;48.5188;10;79.2755;56;53.2018;53;27.49;35;79.1731;672;73.609;210;109.0896;801;32.9419;801;42.2625;112;71.684;528;86.3917;801;44.1527;19;45.7631;801;48.5876;97;51.8239;180;60.2943;431;48.4869;33;39.5654
296;66.7659;341;45.7188;60;57.0218;353;52.4859;96;50.6534;288;58.1086;739;41.9113;163;54.6141;795;44.6817;769;43.4232;774;37.6146;283;45.8272;215;6.8235;76;54.3531;151;52.6154;717;28.7609;801;6.9942;201;76.2716;558;24.2113;10;78.1303;141;56.9731;3;50.0;83;77.5857;769;29.9726;137;97.8704;666;32.3329;263;40.7762;11;10.8285;278;68.5442;664;49.4418;27;73.4079;500;42.6791;208;64.8203;76;68.7496;800;26.3715;163;44.2805
222;80.9523;36;80.1687;34;3.9356;785;1.6362;230;49.7279;198;118.7132;765;35.1404;193;62.2194;646;48.0671;801;43.9817;728;56.2088;509;27.0124;41;2.3127;109;78.414;638;50.2542;761;30.6242;769;38.5278;363;60.2314;367;8.9899;44;75.6347;84;46.9243;53;50.5811;31;79.6574;801;16.6453;181;49.3675;801;49.2016;801;46.7523;27;57.4176;248;64.7821;537;52.4947;26;69.2357;801;46.3417;84;59.8735;62;61.64;171;14.8654;41;74.4138
254;53.4746;33;6.0967;8;3.0297;758;55.9445;586;33.4732;218;72.2984;527;26.7074;420;48.4444;801;45.9099;482;44.1645;795;31.5496;63;60.9055;283;33.749;65;59.0196;163;47.631;735;32.9732;767;63.63;39;62.3063;801;20.532;67;80.2406;27;39.4177;98;70.3945;7;82.4642;464;30.6988;114;50.0;58;53.8311;801;49.0531;16;50.0;194;54.238;801;38.5188;20;51.8035;570;40.3804;255;46.5321;104;59.324;541;80.6821;66;73.1838
365;122.6831;79;43.6648;12;4.2913;613;10.7076;56;54.9284;54;55.2565;801;39.2913;366;52.6073;584;43.6055;801;47.2072;787;33.0313;118;64.6353;112;87.3525;602;77.3131;244;50.7123;799;39.2924;737;52.3341;163;47.4083;603;55.5499;44;79.3958;39;46.6418;36;54.2472;4;79.0049;362;1.4107;158;123.9684;662;44.9013;801;47.3272;56;55.7891;375;210.0808;801;45.6613;23;13.9085;801;37.4948;110;45.6085;311;70.3048;650;11.4991;45;81.0784
357;71.0202;18;9.737;246;49.5697;90;3.1478;168;56.397;270;64.5749;801;15.3264;204;55.7052;801;41.463;801;42.5313;110;50.2591;73;62.6377;60;35.7298;130;51.7131;489;50.3387;801;39.1442;500;62.3273;373;62.628;765;25.0213;180;77.429;86;42.7171;13;51.4425;57;77.8416;580;24.2234;747;25.9033;584;40.4787;801;39.6658;39;121.7783;61;50.0;267;44.4814;19;7.6559;801;48.9688;57;51.842;156;118.6122;122;123.325;110;75.7945
197;45.8571;59;51.599;407;6.1052;299;35.4377;269;55.4263;237;64.7067;569;33.9341;59;10.3579;405;52.7575;801;43.8454;760;38.8349;36;55.3254;154;2.09;233;77.4523;153;49.4396;206;53.7851;363;51.5075;132;118.5185;801;29.9555;91;76.5037;64;44.1955;60;113.5472;2;80.9989;247;5.3931;244;88.6966;801;49.4825;474;47.3988;47;111.8246;276;80.6268;801;44.4992;13;3.9223;718;42.597;145;42.1765;124;50.7309;44;2.4015;61;78.8299
108;117.4908;19;6.9691;58;55.6288;767;3.699;56;55.14;179;58.836;732;54.8456;371;49.2313;801;39.2818;801;42.603;800;71.56;459;65.904;719;16.3758;47;80.4258;147;49.4403;777;33.3591;688;50.0;201;65.3751;267;28.652;17;82.2882;92;51.3769;60;116.1322;20;79.9146;801;31.4074;355;52.8803;801;38.0041;574;50.1347;51;109.7285;100;20.9395;801;43.667;6;27.2393;801;47.6191;62;52.6476;153;115.1676;217;71.0421;148;80.634
168;60.2212;110;78.8549;665;51.3758;90;58.585;363;49.7425;151;51.3673;686;50.5048;654;56.0978;531;41.0423;770;45.8741;801;25.8732;194;58.6268;172;5.6353;46;78.9954;126;57.3382;709;64.2551;543;53.2316;399;43.8215;581;0.1739;83;77.2374;48;39.6243;4;50.0;29;80.34;486;32.1705;749;27.3895;314;40.1624;801;40.53;1;50.0;34;61.0798;631;41.2858;8;13.8611;801;47.614;144;53.8234;255;168.2508;100;4.8437;115;73.14
86;50.7923;45;64.8649;36;56.077;154;51.4889;334;51.8219;152;50.0;801;65.5754;116;53.5705;727;48.8241;801;45.4316;801;40.9704;24;50.1768;759;25.1889;50;62.3446;322;48.6292;801;49.6477;431;65.6727;256;50.6637;659;30.1748;200;74.9335;24;43.0895;124;58.6352;32;80.7185;586;52.8932;257;52.8832;801;49.5322;801;47.9729;46;32.5972;238;118.2084;801;48.0739;5;10.3649;801;44.3127;401;48.7421;156;114.3761;527;59.7246;106;81.4895
619;78.7862;17;76.2497;15;0.0795;662;5.1502;41;52.6479;256;112.9864;759;45.2977;161;76.3645;617;49.5161;638;73.6124;800;38.0404;182;73.9047;16;50.1177;182;75.2665;449;56.7007;389;49.8937;435;4.2064;251;69.016;651;63.1374;81;79.6364;58;62.7457;17;64.1458;16;80.0191;757;88.2841;149;32.4658;801;52.1677;700;40.1287;59;50.1484;382;164.6033;801;50.5471;57;58.6278;801;46.0198;27;50.1942;491;56.4051;470;44.8483;62;78.7325
610;15.6855;432;71.5702;787;47.0078;67;0.5075;275;49.2155;161;54.3663;647;41.9848;718;52.4638;801;44.7071;504;52.2221;801;104.8683;74;51.5216;228;113.4052;91;77.9045;276;51.5142;790;45.5222;801;25.5444;508;82.1069;337;8.2262;13;80.1513;64;46.618;46;117.0523;23;24.4861;497;41.0283;801;35.0333;801;44.445;801;38.3126;135;77.8168;45;31.9644;770;44.5121;26;44.3123;502;48.472;272;52.6014;61;52.8352;229;50.0137;45;77.3817
148;54.1018;224;66.5393;10;54.5504;358;51.9907;331;55.9078;82;115.82;799;42.5525;107;39.8727;556;48.2984;801;41.1005;331;56.3427;48;116.4728;124;34.8371;60;80.3196;202;40.648;800;19.1662;678;42.8872;226;62.4329;692;38.9087;16;78.6719;68;50.061;12;52.4851;15;82.1;46;52.3819;239;54.4771;771;42.901;801;45.7197;48;67.7942;120;117.6844;801;45.3181;18;4.9715;801;43.9879;250;53.092;57;121.7399;104;7.7333;57;79.6995
703;105.1295;801;45.8145;725;51.3455;228;71.1102;130;32.3625;111;120.9025;795;30.5374;126;79.8536;801;51.8555;801;46.0931;722;31.9577;122;11.3856;233;3.6826;21;49.8543;117;49.9998;666;66.632;792;37.9469;106;66.8775;797;33.51;49;75.9289;25;66.2659;28;63.7886;81;1.0063;144;3.039;235;50.3326;801;37.5807;801;42.4939;70;106.3992;234;68.1243;801;47.6624;11;16.5307;373;42.5783;216;49.8064;108;111.0209;378;54.4681;136;80.0618
367;66.3735;201;53.0076;8;0.1039;201;54.5515;653;54.2696;40;50.0;506;47.8613;98;79.5652;801;14.1721;758;61.1318;791;35.6558;490;49.1285;801;10.4102;479;49.0068;401;51.7061;791;27.7696;634;20.9355;400;55.2212;550;0.9536;48;79.8497;2;38.6612;71;118.0079;10;6.3938;620;6.1988;453;9.9409;326;47.5734;471;49.3633;96;71.0628;553;30.8625;705;52.5778;21;64.431;489;37.2854;247;55.7573;125;10.411;137;110.1661;132;79.3207
163;58.1921;35;78.1454;32;44.7042;112;50.1176;147;41.9001;460;34.4991;801;54.0498;504;51.2123;798;50.3709;655;46.9523;801;22.4266;373;77.9908;17;23.0347;210;76.3447;249;47.8995;683;36.0797;7;50.0;267;69.8757;377;1.5324;396;45.3301;170;48.6731;21;110.8095;13;77.3596;714;6.2483;76;3.1559;668;45.6811;801;39.4547;36;47.7273;240;2.3994;801;42.0526;9;8.2651;780;35.7456;161;61.3849;243;66.3842;267;43.6984;104;78.083
347;50.0;103;78.112;237;58.3056;149;50.7568;208;53.3777;116;120.2815;752;32.1714;146;45.1455;240;44.3638;786;44.9499;789;33.7447;27;11.1169;142;72.3777;86;78.3634;572;51.1262;80;50.0;689;33.3016;130;117.6376;776;76.9155;32;75.2886;355;51.1176;51;72.6511;22;63.5067;391;28.8728;209;115.8266;801;28.173;801;45.4634;21;55.955;223;67.2736;801;43.9885;31;8.1796;454;41.6209;215;53.3488;543;62.121;168;6.9079;358;78.7247
227;103.8714;147;28.0674;64;51.7603;34;36.0512;108;54.0397;185;79.64;731;26.1426;143;49.5702;801;20.1171;801;39.994;801;51.4625;760;80.4139;712;9.9682;42;53.3988;44;53.7409;794;25.3002;484;74.2302;314;67.3398;744;31.6624;125;79.9699;58;46.7982;40;50.0;53;81.1331;742;54.1695;275;26.2189;801;13.1284;738;46.8515;6;0.8272;199;84.5964;801;41.2758;20;7.7708;801;40.3366;37;52.113;272;97.4349;127;2.2849;114;79.2878
184;101.4941;16;81.5474;64;44.4739;73;6.4257;328;49.1649;300;78.8559;793;30.2911;367;45.8767;731;37.8938;801;47.7347;474;107.26;117;27.4604;5;0.0885;27;78.7404;29;49.6791;501;53.3233;256;53.7119;204;79.3225;66;49.1257;57;80.7111;190;60.1152;14;50.0;11;76.1206;801;29.4943;138;120.4755;801;43.5395;801;30.0416;75;77.1086;305;69.9273;801;49.2292;24;8.0013;348;44.7699;124;54.7963;80;59.2499;527;93.6588;82;52.6683
101;51.753;53;80.1592;109;57.3514;196;60.3157;240;59.3665;166;57.5111;785;24.1166;95;15.2302;780;46.1203;801;34.605;714;57.4547;22;50.0;66;50.0;227;48.254;126;49.3813;557;73.2822;787;51.2633;87;52.0074;741;21.035;47;77.8793;24;49.3188;44;28.6502;63;78.8295;787;51.6695;548;68.162;801;45.6927;801;29.0211;23;55.5681;81;92.011;801;45.9461;13;16.8712;801;35.382;71;42.4405;216;118.2769;51;41.1367;190;78.5934
192;108.2169;149;43.6494;55;63.2865;158;66.2789;34;61.1692;286;54.3175;384;50.2784;226;53.9794;801;54.5126;649;42.6341;468;67.0415;9;13.2035;289;1.5897;437;43.2693;326;47.2497;405;56.5729;801;21.3439;576;62.3271;801;18.4982;24;80.2965;150;50.7192;7;0.0;7;76.5671;629;6.7467;42;1.4784;801;39.4288;801;40.4439;43;50.7284;130;106.1336;706;49.0277;156;16.3132;801;44.2274;207;45.453;256;268.9224;801;30.2056;128;79.0603
360;60.6857;13;17.1182;215;45.2289;382;55.6587;135;48.1258;371;93.8356;716;63.4841;108;74.8276;798;42.1676;779;45.7448;801;43.1361;467;35.7717;525;3.3992;80;76.6312;82;47.1589;800;41.4985;677;68.5622;397;48.0542;714;19.3426;56;78.0819;4;14.0024;28;115.5192;27;79.8507;781;32.994;782;10.9238;643;26.3851;664;44.3932;31;50.0;88;60.4824;720;43.4061;72;54.4583;662;42.4144;200;51.9289;309;119.671;435;59.7905;60;78.8457
197;62.4373;68;70.7952;354;33.0914;97;65.9391;97;42.5428;330;99.8764;759;25.6567;460;47.6582;383;40.3093;801;38.1308;348;56.8472;65;112.2534;41;64.7175;122;42.251;733;48.8471;766;54.7989;210;54.6147;215;81.9667;769;1.872;68;80.0858;31;46.5808;18;0.3997;28;76.005;377;30.6064;274;37.6844;483;50.5494;798;44.9362;23;0.3852;291;37.9871;801;44.0315;37;80.1103;801;45.2069;215;42.6185;38;56.0867;67;50.9644;147;75.519
381;8.3496;197;42.0364;26;12.5207;689;89.5151;221;49.0347;106;114.5477;801;24.4519;162;56.7214;801;50.778;801;48.0488;801;39.4759;100;65.5389;116;2.5947;50;76.0925;60;53.4685;801;14.8996;799;36.5193;418;50.0;8;31.8341;15;82.8719;26;50.3377;46;52.9695;28;0.218;309;58.8395;572;35.2982;801;47.288;801;47.1612;25;61.7732;64;60.9918;801;48.1408;25;44.4032;801;37.2885;190;42.991;208;28.3618;225;165.7235;31;78.6949
140;9.6294;78;46.3188;66;50.663;198;53.8346;253;41.8934;125;51.5831;266;55.7098;96;79.0546;801;43.4158;784;42.3924;665;47.8391;142;111.2437;240;48.8338;36;78.4352;78;38.2391;785;41.2599;801;31.0599;124;79.0905;669;19.1559;37;81.0023;74;52.0185;56;53.7801;2;8.8181;415;64.8748;193;71.0769;450;49.6391;752;46.0238;54;12.1719;124;61.0668;279;42.2271;11;24.8748;801;40.4486;36;57.3556;128;123.6951;179;56.1497;206;77.9301
275;72.8003;366;75.0088;613;52.6164;113;50.5102;226;50.4189;87;50.0;580;49.1977;13;53.0575;801;42.1318;651;47.9663;778;44.1348;42;3.9448;801;13.7667;77;75.6109;71;42.6563;332;52.0786;754;41.291;103;61.4154;363;14.5403;231;79.2327;241;48.0829;38;2.6868;24;81.953;198;2.939;408;53.7992;777;35.1489;753;37.9803;43;122.5461;95;60.3304;801;46.6626;20;20.1136;353;32.5863;163;54.7853;80;50.0;268;120.0567;206;78.5604
480;77.211;109;72.326;202;49.3496;64;8.0036;425;57.0263;156;50.0;753;38.2039;51;54.6867;15;42.5319;328;43.1946;768;34.6368;110;64.7455;67;64.576;173;76.1784;47;49.0247;298;52.5115;751;64.3554;39;50.0;329;50.6128;67;79.928;229;53.4926;177;46.9043;37;78.5822;658;11.6264;226;52.5883;632;32.0101;801;42.9263;47;118.6442;284;117.8671;606;40.4984;17;15.3616;801;46.7939;142;46.6824;319;110.7622;402;24.3352;248;77.4411
129;55.6935;114;51.7154;56;55.1834;153;1.7263;421;50.9193;555;50.9027;796;25.3713;138;55.3764;247;46.0214;739;53.2917;693;48.6923;358;76.4242;107;64.7249;222;75.5242;72;52.9336;801;23.0467;279;36.3546;279;76.8034;742;39.9585;138;77.893;9;52.3653;11;50.0;17;82.0072;801;3.3909;371;115.5482;763;32.1151;801;39.9307;106;71.5964;147;55.58;801;40.8903;4;21.4187;519;44.3837;175;53.9525;209;78.9695;414;17.7477;192;78.7812
179;58.226;70;54.4172;154;45.0961;183;60.0724;801;45.4945;166;59.2335;664;47.5408;181;55.364;237;50.7299;801;45.5665;288;27.5046;106;52.1147;56;3.8314;50;47.9535;141;54.9446;788;17.9902;366;53.1076;97;51.3805;387;56.8763;15;76.5519;124;48.6787;88;70.9608;4;0.1146;562;0.5048;667;17.0412;407;44.6887;776;41.196;43;112.3005;25;60.2724;801;42.956;21;59.6502;801;41.7205;90;60.0429;70;87.6961;801;24.2534;111;45.631
210;24.2097;57;41.5106;230;42.5573;24;50.236;57;0.1215;297;61.7251;655;36.05;632;37.5144;801;38.7673;801;44.6986;474;48.5694;418;54.4902;393;68.9512;125;75.022;531;41.674;239;68.0585;789;43.2833;105;54.4379;554;63.2629;24;79.8003;418;41.1572;84;40.769;15;47.0146;700;15.5576;35;5.981;109;45.3697;710;45.7899;79;120.9525;161;51.3616;800;38.3658;11;45.1913;801;40.9025;134;48.2469;143;116.6198;583;39.4799;26;73.8835
133;50.4112;196;56.8996;11;0.0024;305;69.483;93;0.0955;36;50.1316;728;13.972;64;3.0858;801;41.1299;801;33.5539;788;36.0819;117;75.2184;130;50.5966;62;68.7543;263;49.8871;568;74.1459;493;77.4504;214;64.5083;182;1.4873;151;47.417;220;40.6231;34;3.0719;35;74.8342;562;16.9241;113;0.1148;801;46.4198;801;48.4945;191;64.3106;359;167.9031;699;52.7098;8;12.5408;661;50.4976;108;55.8531;303;64.8983;84;0.2069;713;77.7998
152;51.8099;212;40.3943;183;50.4239;117;66.1299;261;53.0954;122;64.1335;776;34.1117;191;56.6019;801;27.1273;801;41.6232;738;27.5386;84;64.0278;121;6.3504;165;74.0813;149;48.3092;722;25.5077;788;28.0895;100;50.0;738;9.7281;184;78.5073;4;7.2629;33;50.4648;4;79.092;717;23.0103;61;0.9989;377;49.1032;801;44.9083;8;32.3507;167;114.5937;801;44.2809;9;12.9785;801;35.8744;422;45.6525;82;53.0628;491;46.2954;71;77.0039
411;103.7475;69;12.2321;155;39.8473;107;82.481;90;37.4295;81;66.3431;801;34.3112;344;78.9948;801;50.0606;801;46.9093;801;43.2238;46;54.4668;9;50.1196;32;54.2544;423;48.1724;110;50.1417;792;47.5109;262;34.5607;752;44.2862;49;77.0332;14;67.1126;91;66.4017;4;10.175;801;12.6633;14;0.2363;786;50.0372;801;37.4147;37;8.6521;532;66.8827;801;49.0011;2;0.0959;799;39.1067;131;53.5611;149;218.5266;369;46.7953;73;38.0011
35;57.7738;64;80.1888;22;12.8986;7;37.7727;571;45.3896;136;98.8649;778;19.4195;110;55.788;553;40.57;683;44.4953;801;39.3827;97;118.9594;16;50.1182;151;76.8612;125;53.5515;795;17.0967;433;11.8405;423;62.4502;795;30.4749;48;77.6685;390;40.6297;63;6.1123;7;75.562;801;44.9644;168;63.5136;801;37.8587;759;42.8287;25;10.7691;236;66.3349;801;45.4495;9;12.8125;801;41.6067;174;41.539;205;120.5621;179;1.6466;64;75.5053
255;50.4197;67;75.477;17;10.5869;133;8.8872;344;45.8814;109;66.2536;798;72.0297;204;36.5902;801;41.1083;638;46.1172;801;16.9866;114;66.1942;164;71.9363;532;48.9338;205;52.5478;655;48.1469;801;21.5998;189;86.269;745;21.8902;24;76.9413;106;52.1148;59;108.5499;6;77.5963;367;7.1097;120;56.9757;708;21.2086;645;50.616;51;113.2433;630;80.0702;797;52.9596;23;5.5915;801;44.7698;388;52.3487;110;116.8259;567;22.1009;26;82.5468
298;63.5183;15;75.8327;24;17.5792;327;32.9815;106;54.5047;152;66.0791;782;44.223;34;53.694;801;39.9257;755;36.0576;785;41.3135;39;112.8807;42;2.0451;202;47.1866;301;37.9573;787;16.2336;797;34.7018;150;50.4738;801;47.7154;116;79.9961;773;41.5484;11;0.0;21;76.7951;527;0.0454;334;102.7173;148;49.5976;801;46.2221;180;264.4133;91;64.5266;801;43.3554;80;44.5411;801;43.9351;9;42.4487;65;50.0;186;31.069;30;77.8587
41;57.5305;116;52.9523;801;1.0708;52;26.7563;202;53.319;174;58.5389;798;33.7976;70;77.5094;801;44.6268;801;40.6537;360;55.7387;72;53.2969;25;63.0565;44;80.8676;89;58.0229;793;35.4866;754;35.5327;231;64.7027;801;5.2898;28;70.9319;20;40.7504;63;51.5177;19;0.9247;726;84.1752;4;0.052;227;33.4704;639;39.3141;50;80.1854;283;120.5708;801;47.3803;26;45.1015;670;41.2029;200;48.0992;208;118.6757;186;6.0661;199;47.8197
170;10.3684;10;79.4008;2;7.8975;438;13.6466;801;48.8914;228;61.7332;799;22.5313;216;49.719;300;48.7657;306;43.4774;716;38.6553;78;64.6817;124;53.2151;158;76.2078;230;57.6132;738;47.3045;797;29.3682;768;54.4826;206;2.1254;10;80.6722;169;45.4387;23;111.754;11;78.6923;731;72.5219;304;60.1137;801;43.3781;801;42.7835;7;116.1975;202;118.0334;800;42.7392;19;51.7345;763;43.1103;591;50.7624;6;50.0;494;38.3512;29;80.0302
131;70.8719;10;54.8772;550;30.5639;105;7.3135;106;2.2595;264;25.084;791;28.3148;228;56.0248;410;43.4244;801;42.6364;736;31.528;25;59.5612;89;40.4047;73;56.4522;173;49.9861;444;68.1369;145;8.3746;317;55.9655;182;52.3174;41;78.422;86;58.912;84;60.0086;4;80.8648;763;-2.125;127;54.5058;801;46.6514;786;49.0233;31;123.882;97;65.4425;801;39.7205;10;0.5427;748;47.5534;45;50.2184;668;63.7439;639;66.144;142;81.3159
99;52.1111;169;21.3649;72;61.0798;225;52.1086;84;54.9362;88;109.5145;692;29.207;248;60.7818;506;52.3907;801;45.6664;735;51.4642;216;53.7333;787;18.8911;44;81.1948;135;55.994;801;11.5573;624;38.5757;81;117.0182;801;11.827;31;77.298;13;25.7684;29;116.1215;55;39.5762;553;35.4983;64;2.8927;801;19.168;801;40.4419;58;5.202;184;117.4308;801;44.1373;48;64.6953;801;46.6389;150;49.9101;62;114.9195;605;75.8733;39;76.1995
228;77.6019;36;77.0519;268;48.361;109;0.6352;57;1.8088;400;52.343;801;16.5861;182;53.195;801;37.5952;560;41.3728;415;52.8309;198;57.6186;150;65.7145;139;75.2934;647;49.9026;615;70.9764;297;60.0736;393;69.7144;745;13.5867;93;66.4196;211;52.8262;23;116.0409;14;80.0079;392;5.0389;118;0.0293;801;33.7095;797;38.0467;12;4.2866;226;28.4155;801;46.1689;7;52.2093;753;44.6735;183;51.1463;143;58.4335;249;71.4032;10;77.4028
40;63.847;627;13.0059;58;6.9914;156;2.6523;103;57.4483;95;80.7134;801;111.4946;90;71.1124;797;49.6868;523;46.6161;801;57.0831;13;56.8754;31;2.4794;117;80.07;167;48.7216;709;26.2695;755;51.8493;415;73.3703;801;5.0464;9;78.7608;175;41.147;8;50.0;37;74.4717;801;21.1232;387;112.7868;801;19.4653;801;45.7585;58;71.1038;263;63.3637;801;41.6474;12;3.2141;801;44.4727;283;49.6769;224;87.9243;379;64.8663;13;78.4654
